Intercept	Height	Sex	Age	Weight	gPC1	gPC2	gPC3
4.39700938624142e-16	3.66979727232149e-12	1.17665041491001e-26	9.22246038310089e-05	4.36657979169258e-25	0.000345869959784359	0.0256397246777559	0.0409684402559676
5.14506575206231e-23	5.62558000661741e-09	2.99609369117229e-38	1.82163279561647e-08	1.01480333319181e-17	2.00259278649765e-06	0.00511479693458488	0.0380531241392304
9.56968941945602e-21	1.98045027644336e-11	1.78872283782709e-34	9.62586174452316e-07	2.43490681809905e-24	1.9625655919602e-05	0.0160071698013029	0.0274994335537096
8.1076515584923e-22	1.47910413942112e-07	2.92762010150354e-36	4.3112406208195e-09	2.13632928214609e-14	1.32241769073149e-06	0.00195317571096115	0.0636873329570779
1.04098257594238e-17	2.94746141533554e-12	2.16396739078314e-29	1.7246345145281e-05	4.92768094684992e-26	0.000114429830127647	0.0218447852690049	0.0300477423355288
7.00481505823607e-21	4.95558491569864e-07	1.06303629380849e-34	2.61112331133137e-09	2.39488933439223e-13	1.4574842224522e-06	0.00118681800355184	0.0794758316997489
3.85369501432006e-23	8.68954917749295e-10	1.8548034774553e-38	4.62466920010945e-08	5.89414708674532e-20	3.26232219361323e-06	0.00791975039590933	0.0318570759619058
8.28112325500932e-20	9.99559628495534e-07	6.56961123194894e-33	1.576552178612e-09	6.09304367986769e-13	1.69347255532721e-06	0.000799168531698574	0.093240299566833
7.87948785295854e-20	5.38504838540945e-12	6.04571146369791e-33	2.53981231274295e-06	9.67881016683052e-26	3.70328894790469e-05	0.018861072303913	0.0257883605470063
7.76338076556691e-17	2.42870169070287e-06	6.34258898797816e-28	5.44334137165593e-10	4.05093411842566e-13	4.25674179452193e-06	0.000490229294668307	0.131885174696639
2.38613800439987e-15	2.41128751057528e-06	2.04060279198736e-25	4.88599401249973e-10	1.62887750317514e-13	6.74091435684632e-06	0.00050083029901203	0.150330193031923
1.02225679096783e-22	1.25959642650953e-10	9.36548200724663e-38	1.38126593316164e-07	3.23783619328868e-22	5.91577785117572e-06	0.0115618763971941	0.0276395104910837
5.3427035431709e-15	3.6620134444659e-11	7.96125572073675e-25	0.000532948800957524	1.05332903685912e-20	0.00173281898443771	0.0251225781054588	0.0637520697058463
1.74929225917538e-15	4.57269354679971e-12	1.20825289278565e-25	0.000195265518398362	3.54745042544674e-24	0.000639469786382675	0.0273568089898557	0.0476675671971845
8.4817966105298e-17	1.78479341951669e-12	7.36124622763272e-28	4.28833497754647e-05	4.31061479061166e-26	0.000206819839105043	0.0255732781699297	0.033606929057036
5.15733986034825e-22	2.05773811449958e-11	1.37929465938326e-36	3.89579661983282e-07	3.13410163968474e-24	1.10600387953878e-05	0.0153556036385654	0.0251079237849409
