IID	Sex	Method 1	Method 2	Method 3	Method 4
140054	Female	0.00015611692859299	0.00547695431766427	-0.000284385888534401	-0.000284385888534402
140057	Male	0.0526373718734114	0.0418445774042053	0.0387677896453201	0.0387677896453201
140059	Male	0.0213579927813767	0.000687777214098508	-0.00528559181324128	-0.00528559181324128
140060	Female	0.0107915374872994	0.00753202550923055	0.00543795683689251	0.00543795683689251
140061	Male	0.00661702652092407	-0.00518381120724586	-0.010200402407135	-0.010200402407135
140064	Female	0.00785826776775387	0.0123104856852594	0.00938299608393828	0.00938299608393828
140065	Male	0.0170990619312085	0.00845237626581463	0.00443045428458548	0.00443045428458548
140068	Male	0.0274096917034912	0.0124457916611762	0.00982800622358866	0.00982800622358866
140069	Male	0.0211720545354632	0.00134483138117861	-0.00143188828512493	-0.00143188828512493
140070	Male	0.0168041356143768	0.00553659330326507	-1.3293313682245e-05	-1.32933136822461e-05
140072	Male	0.0314469265347528	0.0267144610315433	0.0217261655880975	0.0217261655880975
140073	Female	-0.0039602538486999	0.00550072701816791	0.000621500674858408	0.000621500674858406
140076	Male	0.0255757469075536	0.0131848820758307	0.0108327286202126	0.0108327286202126
140079	Male	0.00794001565749039	-0.00297927920046809	-0.00953249031500589	-0.00953249031500589
140081	Female	0.00435206793963237	-0.0166645347428608	-0.0194528494624242	-0.0194528494624242
140082	Female	-0.0241300098044195	-0.0148256907084868	-0.0206400503549233	-0.0206400503549233
140083	Male	0.022900031306514	0.00887325248520904	0.00597342287104878	0.00597342287104878
140084	Male	0.0149526031686936	0.018150247735592	0.0122193306960358	0.0122193306960358
140085	Female	-0.019966118011223	-0.00811655963198138	-0.0172404151135703	-0.0172404151135703
140087	Male	0.0150283952260353	0.00522836637777163	0.00126799250535017	0.00126799250535017
140088	Male	0.0265579320887559	0.0137109951640987	0.0086487080866348	0.0086487080866348
140089	Female	0.032079207989735	0.0357906708017877	0.0338222953207319	0.0338222953207319
140090	Male	0.0192684729353499	0.012814332879294	0.00638150627391445	0.00638150627391445
140091	Male	0.030591465816602	0.0211572285930613	0.016940242603323	0.016940242603323
140093	Male	0.0217283437077764	-0.00497305174841912	-0.010810934286777	-0.010810934286777
140094	Female	-0.0086684967868592	-0.0103343937068254	-0.0182800782261083	-0.0182800782261083
140095	Female	-0.00583169126027119	-0.00143420899863123	-0.00747316865886689	-0.00747316865886689
140096	Female	-0.00524435748484142	0.00355862526691875	-0.00197275705015763	-0.00197275705015764
140097	Female	0.00616254673349188	0.00602090076153446	0.00233747918677196	0.00233747918677196
140098	Male	0.0234938822822036	0.00494691458848559	0.00340106813195821	0.00340106813195821
140099	Male	0.0494067444958598	0.0309289170505988	0.0259293656160219	0.0259293656160219
140101	Female	0.0067488607533521	0.00565742970110377	0.000740203058507961	0.000740203058507959
140106	Male	0.0276164243614095	-0.000300521104994148	-0.00383105855908179	-0.00383105855908179
140108	Male	0.0269857955235325	0.0205479290814062	0.0154089829509716	0.0154089829509716
140109	Male	0.01751052943	0.00294437796807205	-0.00138131013877702	-0.00138131013877702
140111	Female	0.0096344629488234	0.0143274630647706	0.0108316527427892	0.0108316527427892
140113	Male	0.0492512583875079	0.0210519389229799	0.0184588525114539	0.0184588525114539
140114	Female	-0.00424823565918809	-0.0166450145765148	-0.018445356409498	-0.018445356409498
140115	Female	-0.00444696902048854	0.00786208394788977	0.00220919614378778	0.00220919614378778
140118	Male	0.0256285347606759	0.0222826492299355	0.0174362869177075	0.0174362869177075
140120	Female	0.00217132748667935	0.0073036642762656	0.00271344023620786	0.00271344023620786
140121	Female	0.0208819210124875	0.0322925310126837	0.0265554706101079	0.0265554706101079
140122	Female	-0.00369718000368415	0.00614446182405123	-0.000971477106031422	-0.000971477106031423
140123	Female	0.00152538244202088	0.00126660860211945	-0.00350065968616735	-0.00350065968616735
140124	Male	0.0307276992775821	0.0148138455690996	0.0116175006939927	0.0116175006939927
140126	Female	-0.00823204724497177	-0.00325107069916453	-0.0107469607028172	-0.0107469607028172
140129	Male	0.0304035538330793	0.0146308663844192	0.0100923806680216	0.0100923806680216
140131	Female	0.0189238717395837	0.0252612368107533	0.0217587541446426	0.0217587541446426
140132	Female	0.00860126831561617	0.0037070481313052	0.00095491800967887	0.000954918009678869
140133	Female	-0.0052831458845031	-0.00945519015034723	-0.0141304707719087	-0.0141304707719087
140134	Male	0.0218320685755764	0.02653084855272	0.019317155117731	0.019317155117731
140135	Male	0.017536661326989	-0.00129154485274068	-0.00779676917875447	-0.00779676917875447
140136	Male	0.0316405560070336	0.0160339464825038	0.0125303574234442	0.0125303574234442
140137	Female	-0.000845095813516419	-0.0058349529561534	-0.00958324119351583	-0.00958324119351583
140138	Female	0.0131027195316999	0.0203804026340917	0.0152825248923215	0.0152825248923215
140139	Male	0.0167062117952996	0.0213949393044732	0.0151739139041101	0.0151739139041101
140140	Male	0.0345241200394033	0.0176635900195624	0.0136670493373145	0.0136670493373145
140141	Male	0.0350379293234685	0.0111730536057272	0.00839434472885054	0.00839434472885054
140142	Male	0.0263728349906642	0.0197107714325658	0.0149052019255095	0.0149052019255095
